Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Cumberland County Courthouse,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","One Courthouse Square
Carlisle, Pennsylvania
(40.2015, -77.1898)"
East Pennsboro Township Police Dept.,17025,Cumberland,21,21,21,42,(717) 732-3633,"Monday-Friday, 8:30am-3pm","98 South Enola Drive
Enola, Pennsylvania
(40.2873, -76.9324)"
Gettysburg Borough Police Department,17325,Adams,1,1,1,42,(717) 334-1168,"Monday-Friday, 8am-4:30pm","59 East High Street
Gettysburg, Pennsylvania
(39.8283, -77.2296)"
Millbourne Police,19082,Delaware,23,23,23,42,NA,NA,"11 Park Ave
Millbourne, Pennsylvania
(39.9636, -75.2501)"
Chalfont Borough Police,18914,Bucks,9,9,9,42,(215) 822-2606,Contact location for hours,"40 North Main St.
Chalfont, Pennsylvania
(40.2869, -75.209)"
New Britain Township Police,18914,Bucks,9,9,9,42,(215) 822-1910,"Monday-Friday, 8am-4pm; by appointment during off-hours","207 Park Avenue
Chalfont, Pennsylvania
(40.2954, -75.2043)"
Perryopolis Police Dept.,15473,Fayette,26,26,26,42,(724) 736-0700,Contact location for hours,"721 Cemetery Road
Perryopolis, Pennsylvania
(40.0817, -79.7497)"
Souderton Police Department,18964,Montgomery,46,46,46,42,(215) 723-6500,"7 days a week, 24 hours a day","31 West Summit St.
Souderton, Pennsylvania
(40.3133, -75.3292)"
Swatara Township Police Dept.,17111,Dauphin,22,22,22,42,(717) 564-2550,"Monday-Friday, 8am-4:30pm, or by appointment","599 Eisenhower Blvd.
Harrisburg, Pennsylvania
(40.2514, -76.8149)"
Huntingdon Borough Police Dept.,16652,Huntingdon,31,31,31,42,(814) 643-3960,"Monday-Friday, 8:30am-4:30pm","530 Washington St.
Huntingdon, Pennsylvania
(40.4857, -78.0122)"
Amity Twp. Police Department ,19518,Berks,6,6,6,42,(610) 689-6002,"Monday-Friday, 8am-5pm","2004 Weavertown Road
Douglassville, Pennsylvania
(40.2983, -75.7386)"
New Garden Twp. Police Dept.,19350,Chester,15,15,15,42,(610) 268-2907,"Monday-Friday, 8am-4pm  ","8934 Gap Newport Pike
Landenberg, Pennsylvania
(39.8108, -75.7551)"
Montoursville Police Dept.,17754,Lycoming,41,41,41,42,(570) 368-2488,"Monday-Friday, 8am-4:30pm","617 North Loyalsock Avenue
Montoursville, Pennsylvania
(41.2579, -76.9221)"
Borough of Collegeville Police Dept.,19426,Montgomery,46,46,46,42,(610) 489-9332,Contact location for hours,"491 East Main Street
Collegeville, Pennsylvania
(40.1905, -75.4553)"
Washington Twp. Police Dept.,15613,Westmoreland,65,65,65,42,(724) 727-3410,"Monday-Friday, 7am-3pm","289 Pine Run Church Road
Apollo, Pennsylvania
(40.5471, -79.6045)"
Neshannock Township Police,16105,Lawrence,37,37,37,42,(724) 658-5631,Contact location for hours,"3131 Mercer Rd.
New Castle, Pennsylvania
(41.0509, -80.3355)"
Washington & Jefferson College Security,15301,Washington,63,63,63,42,(724) 223-6032,Contact location for hours,"60 South Lincoln Street
Washington, Pennsylvania
(40.1706, -80.2405)"
Nazareth Borough Police Dept.,18064,Northampton,48,48,48,42,(610) 759-9575,Contact location for hours,"134 S. Main Street
Nazareth, Pennsylvania
(40.7396, -75.312)"
Muhlenberg Twp. Police Department ,19560,Berks,6,6,6,42,(610) 929-5454,"Monday-Friday, 8am-4:30pm","5401 Leesport Avenue
Temple, Pennsylvania
(40.4008, -75.9237)"
East Lansdowne Borough Police,19050,Delaware,23,23,23,42,NA,NA,"155 Lexington Ave.
Lansdowne, Pennsylvania
(39.9454, -75.2617)"
Lehigh Valley Health Network (c/o Lehigh County Drug Task Force),18017,Lehigh,39,39,39,42,(484) 884-8225,Contact location for hours,"1627 West Chew Street
Allentown, Pennsylvania
(40.6011, -75.4932)"
West Hempfield Township Police Dept.,17601,Lancaster,36,36,36,42,(717) 285-5191,"Monday-Friday, 8am-4:30pm","3401 Marietta Avenue
Lancaster, Pennsylvania
(40.0628, -76.4242)"
Donegal Police Dept.,15376,Washington,63,63,63,42,(724) 484-4017,"Monday-Friday, 8am-6pm","34 N. Liberty Street
West Alexander, Pennsylvania
(40.1066, -80.5084)"
Mifflin County Sheriff's Office,17044,Mifflin,44,44,44,42,(717) 242-1105,Contact location for hours,"20 North Wayne Street
Lewistown, Pennsylvania
(40.5968, -77.5765)"
Lawrence Park Police Department,16511,Erie,25,25,25,42,(814) 898-1634,Contact location for hours,"4230 Iroquois Ave
Erie, Pennsylvania
(42.1492, -80.0074)"
Eastern Pike Regional Police Dept.,18336,Pike,52,52,52,42,(570) 491-4700,"Monday-Friday, 8am-4pm","10 Avenue I
Matamoras, Pennsylvania
(41.3727, -74.7051)"
Geisinger CareSite Pharmacy,18612,Luzerne,40,40,40,42,(570) 674-2001,"Monday-Friday, 8:30am-6pm; Saturday, 9am-1pm","114 Lt. Michael Cleary Drive
Dallas, Pennsylvania
(41.331, -75.9495)"
State Police-Troop P / Laporte,18626,Sullivan,57,57,57,42,NA,NA,"5837 US Hwy 220
Laporte, Pennsylvania
(41.4268, -76.4899)"
Freemansburg Police Dept.,18017,Northampton,48,48,48,42,(610) 866-2221,Contact location for hours,"600 Monroe Street
Bethlehem, Pennsylvania
(40.6255, -75.3409)"
Borough of Trafford Police Dept.,15085,Westmoreland,65,65,65,42,(412) 372-7652,"Monday-Friday, 7am-3pm","414 Brinton Avenue
Trafford, Pennsylvania
(40.3853, -79.7609)"
Mercer County Sheriff's Office,16137,Mercer,43,43,43,42,(724) 662-3800,"Monday-Friday, 10am-2pm","205 South Erie Street, Rm 102
Mercer, Pennsylvania
(41.2252, -80.2398)"
Langhorne Borough Police (2nd floor),19047,Bucks,9,9,9,42,(215) 757-5911,7:30am-12am; call to check availability,"114 East Maple Avenue
Langhorne, Pennsylvania
(40.1762, -74.9198)"
West Mifflin Police Dept.,15122,Allegheny,2,2,2,42,(412) 461-0600,"7 days a week, 24 hours a day","1020 Lebanon Road
West Mifflin, Pennsylvania
(40.3618, -79.9331)"
Borough of Crafton Police Dept.,15205,Allegheny,2,2,2,42,(412) 921-2016,"Monday-Friday, 8:30am-5pm","100 Stotz Avenue
Crafton, Pennsylvania
(40.4348, -80.0666)"
Saxonburg Borough Police Dept.,16056,Butler,10,10,10,42,(724) 352-6255,"Monday-Saturday, 8am-4pm","420 West Main Street
Saxonburg, Pennsylvania
(40.7513, -79.8173)"
Upper Uwchlan Twp Administrative offices,19425,Chester,15,15,15,42,(610) 458-9400,Contact location for hours,"140 Pottstown Pike
Chester Springs, Pennsylvania
(40.0885, -75.6923)"
Midland Borough Police Dept.,15059,Beaver,4,4,4,42,(724) 643-1155,Contact location for hours,"936 Midland Avenue
Midland, Pennsylvania
(40.6425, -80.4612)"
Beaver Falls Police Department,15010,Beaver,4,4,4,42,(724) 846-7004,Contact location for hours,"715 15th St
Beaver Falls, Pennsylvania
(40.7557, -80.3203)"
Weatherly Police Dept.,18255,Carbon,13,13,13,42,(570) 427-4241,"Monday-Friday, 7:30am-4:30pm ","10 Wilbur Street
Weatherly, Pennsylvania
(40.9406, -75.8291)"
Collingdale Borough Police Department,19023,Delaware,23,23,23,42,NA,NA,"800 MacDade Blvd
Collingdale, Pennsylvania
(39.9176, -75.276)"
State Police-Troop F / Montoursville,17754,Lycoming,41,41,41,42,NA,NA,"899 Cherry St.
Montoursville, Pennsylvania
(41.2494, -76.9135)"
North Wales Borough Police Dept.,19454,Montgomery,46,46,46,42,(215) 699-9279,Contact location for hours,"300 School Street
North Wales, Pennsylvania
(40.2131, -75.2792)"
Reynoldsville Police Department,15851,Jefferson,33,33,33,42,(814) 653-2510,Contact location for hours,"460 Main Street
Reynoldsville, Pennsylvania
(41.0959, -78.8881)"
Union County Sheriff's Office,17837,Union,60,60,60,42,(570) 524-8716,Contact location for hours,"103 South 2nd Street
Lewisburg, Pennsylvania
(40.9633, -76.8824)"
Exeter Twp. Police Department (**2 Boxes at this location),19606,Berks,6,6,6,42,(610) 779-1490,"Monday-Friday, 8am-4:30pm","4975 DeMoss Road
Reading, Pennsylvania
(40.3063, -75.8545)"
Walgreens Pharmacy (Altoona Location),16602,Blair,7,7,7,42,(814) 944û3236,Contact location for hours,"508 E PLANK RD
Altoona, Pennsylvania
(40.4795, -78.4037)"
Silver Spring Township Police Department,17050,Cumberland,21,21,21,42,(717) 697-0607,"Monday-Friday, 7:30am-4pm ","5 Willow Mill Park Road, Suite 1
Mechanicsburg, Pennsylvania
(40.2513, -77.0313)"
State Police-Troop N / Bloomsburg,17815,Columbia,19,19,19,42,NA,NA,"6850 Hidlay Church Rd.
Bloomsburg, Pennsylvania
(41.0398, -76.3588)"
Johnsonburg Borough Police Dept.,15845,Elk,24,24,24,42,(814) 965-2816,Contact location for hours,"100 Main Street
Johnsonburg, Pennsylvania
(41.4982, -78.6821)"
Lansdale Police Department ,19446,Montgomery,46,46,46,42,(215) 368-1801 ,"7 days a week, 24 hours a day","35 Vine St
Lansdale, Pennsylvania
(40.2408, -75.2852)"
Wesleyville Borough Police,16510,Erie,25,25,25,42,(814) 899-0681,"7 days a week, 24 hours a day","3421 Buffalo Rd
Wesleyville, Pennsylvania
(42.1411, -80.0126)"
Buckingham Township Police (Lower Level),18912,Bucks,9,9,9,42,(215) 794-8812,Contact location for hours,"4613 Hughesian Drive
Buckingham, Pennsylvania
(40.322, -75.0608)"
State Police-Troop N / Swiftwater,18370,Monroe,45,45,45,42,NA,NA,"113 Enforcer Ln.
Swiftwater, Pennsylvania
(40.5986, -77.412)"
State Police-Troop G / McConnellsburg,17233,Fulton,29,29,29,42,NA,NA,"500 Fulton Dr.
McConnellsburg, Pennsylvania
(39.9229, -77.9953)"
Bern Twp. Police Department ,19605,Berks,6,6,6,42,(610) 926-2535,"Monday-Thursday, 8:30am-4:30pm; Friday, 8:30am-12pm","1069 Old Bernville Road
Reading, Pennsylvania
(40.3911, -75.9918)"
Summit Health Pharmacy,19015,Delaware,23,23,23,42,(610) 872-5418,Contact location for hours,"3400 Edgmont Ave
Brookhaven, Pennsylvania
(39.8704, -75.3836)"
Saint Vincent College Dept. of Public Safety,15650,Westmoreland,65,65,65,42,(724) 805-2186,"Monday-Friday, 8am-4:30pm","300 Fraser Purchase Road
Latrobe, Pennsylvania
(40.2924, -79.4057)"
Southwestern Regional Police Department,17362,York,67,67,67,42,(717) 225-1344,"Monday-Friday, 8am-4:30pm","6115 Thoman Drive
Spring Grove, Pennsylvania
(39.8276, -76.8985)"
Lower Moreland Township Police Department,19006,Montgomery,46,46,46,42,(215) 947-3131,"Monday-Friday, 7am-10:30pm; Saturday 10am-3pm","640 Red Lion Road
Huntingdon Valley, Pennsylvania
(40.1249, -75.0612)"
Lock Haven City Police Dept.,17745,Clinton,18,18,18,42,(570) 893-5911,Contact location for hours,"20 East Church Street
Lock Haven, Pennsylvania
(41.136, -77.4484)"
Snyder County Sheriff's Office,17842,Snyder,55,55,55,42,(570) 837-3311,"Monday-Friday, 8am-4pm; and Tuesday/Thursday, 7pm-9pm","12 South Main Street
Middleburg, Pennsylvania
(40.7914, -77.046)"
Montgomery County Courthouse û both public entrances,19403,Montgomery,46,46,46,42,(610) 278-3000,"Monday-Friday, 8:30am-4:15pm","Swede & Airy Sts.
Norristown, Pennsylvania
(40.1161, -75.3436)"
McKean County Sheriff's Office,16749,McKean,42,42,42,42,(814) 887-3454,Contact location for hours,"17013 Route 6
Smethport, Pennsylvania
(41.7978, -78.4614)"
State Police-Troop A / Indiana,15701,Indiana,32,32,32,42,NA,NA,"4221 Rt 286 Hwy West
Indiana, Pennsylvania
(40.59, -79.2037)"
Meadville Medical Center,16335,Crawford,20,20,20,42,(814) 724-6100,Contact location for hours,"751 Liberty Street
Meadville, Pennsylvania
(41.6415, -80.1457)"
State Police-Troop L /Hamburg,19526,Berks,6,6,6,42,NA,NA,"90 Industrial Dr.
Hamburg, Pennsylvania
(40.5642, -76.0025)"
